work_year,experience_level,employment_type,job_title,salary_in_usd,company_size,work_type,country,job_category
2024,Senior Level,Full Time,Business Intelligence,238600,Medium,Onsite,United States,BI Analyst
2024,Senior Level,Full Time,Business Intelligence,112000,Medium,Onsite,United States,BI Analyst
2024,Mid Level,Full Time,Data Scientist,92222,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,62395,Medium,Onsite,United States,Data Scientist
2024,Entry Level,Full Time,Machine Learning Engineer,243300,Medium,Onsite,United States,Machine Learning Engineer
2024,Entry Level,Full Time,Machine Learning Engineer,131500,Medium,Onsite,United States,Machine Learning Engineer
2024,Mid Level,Full Time,Data Scientist,54000,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Engineer,102000,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Machine Learning Engineer,178200,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Machine Learning Engineer,74800,Medium,Onsite,United States,Machine Learning Engineer
2024,Entry Level,Full Time,Data Scientist,108700,Medium,Remote,United States,Data Scientist
2024,Entry Level,Full Time,Data Scientist,76100,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Data Analytics Manager,238600,Medium,Onsite,United States,Analytics
2024,Senior Level,Full Time,Data Analytics Manager,112000,Medium,Onsite,United States,Analytics
2024,Entry Level,Full Time,Data Scientist,65000,Medium,Onsite,United States,Data Scientist
2024,Entry Level,Full Time,Data Scientist,55000,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Business Intelligence Engineer,79600,Large,Onsite,United States,BI Analyst
2024,Executive Level,Full Time,Data Scientist,230000,Medium,Onsite,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,200000,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Engineer,198100,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,110219,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Business Intelligence Developer,95413,Medium,Remote,United States,BI Analyst
2024,Mid Level,Full Time,Business Intelligence Developer,70692,Medium,Remote,United States,BI Analyst
2024,Executive Level,Full Time,Data Scientist,255000,Medium,Onsite,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,205000,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Engineer,223000,Medium,Remote,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,159300,Medium,Remote,United States,Data Engineer
2024,Executive Level,Full Time,Business Intelligence,288000,Medium,Remote,United States,BI Analyst
2024,Executive Level,Full Time,Business Intelligence,250000,Medium,Remote,United States,BI Analyst
2024,Mid Level,Full Time,Machine Learning Scientist,284900,Medium,Onsite,United States,Machine Learning Engineer
2024,Mid Level,Full Time,Machine Learning Scientist,161700,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Data Analyst,85000,Medium,Remote,United States,Data Analyst
2024,Senior Level,Full Time,Data Engineer,243300,Medium,Onsite,United States,Data Engineer
